Structure [idcode],Structure No,Catalog ID,Plate_ID,Well,"V, ÂµL","Conc, mM",Formula,SMILES,MW,Purity,PO,MW_salt,Stereochem.data,Geometric.isomer,Chemical name,ClogP,logS,HBD,HBA,TPSA,RotBonds,% inh rep1,% inh rep2
fjmQa@CEQ``@bDaddeTRVRbRdteASKP@UUUYP|P@ !B?HbH_WvwmpK~@K_|bOs~@Ox@b@K~@K_|?`Bw?[\Bm?rK^K_}mGbK^@,1,Z4607531405,1907006-Y10-01,A03,10,10,C14H17FN2O3S,CC1(CN(Cc(cc2)ccc2OS(F)(=O)=O)CCC1)C#N,312.3598,100,27521095,0,Racemic or presumed racemic or meso,None,4-[(3-cyano-3-methylpiperidin-1-yl)methyl]phenyl sulfurofluoridate,"1,142","-2,544",0,4,"70,4",4,6.373117034,-6.527093596
dcMDPJYL@HbPrRRqIQCLl@E@@@ !B?[^H_PJHmpK~@K]}mpJw@k]}?`Bw_P,2,Z1255439327,1907006-Y10-01,B03,10,10,C6H7FN2O2S,Cc1nc(S(F)(=O)=O)nc(C)c1,190.1954,100,27521095,0,Achiral,None,"4,6-dimethylpyrimidine-2-sulfonyl fluoride","1,046","-1,602",0,4,"59,92",1,-6.488991889,11.8226601
fnsQQ@CQQ`aZ`BHRFRRUQIYJIJYJRTEIVrt@EUUTqRODIh@@ !Bmww}b@JwbOs~@H`BmpK~@Ox@mpK~@K\Bm?w~@K\BmpJw?_x@mpJw@k_}?`@,3,Z4607531281,1907006-Y10-01,C03,10,10,C14H17FN2O5S,O=C1N[C@H](CN(Cc(cc2)ccc2OS(F)(=O)=O)CC2)[C@H]2OC1,344.3586,90.47,27521095,0,Racemic diastereomer with known relative stereochemistry,Cis,"rac-4-{[(4aR,8aS)-3-oxo-octahydro-2H-pyrido[4,3-b][1,4]oxazin-6-yl]methyl}phenyl sulfurofluoridate","-0,435","-2,52",1,5,"84,94",4,-0.115874855,-2.093596059
dklBpDsS@HbPhHrRRqIYSaeijfP@ !BYuLlYq`lTq`ZXG?~YrqeXOx@mpJw?_x@,4,Z2216274541,1907006-Y10-01,D03,10,10,C6H5FO4S2,OC(Cc([s]1)ccc1S(F)(=O)=O)=O,224.2299,92,27521095,0,Achiral,None,2-[5-(fluorosulfonyl)thiophen-2-yl]acetic acid,"1,329","-2,081",1,4,"71,44",3,6.056018168,17.5257732
fakQS@EZ`cK^`BBaEYCIIBeDdThdleIQdmQRmUUu@ATmBJDLH@@ !BnuR{JrqgKAa`FfAe?g}`YV@Z?g|lF@C~@k\@?gvw@k\Bmwvw@k]}m?vwmpJH_P,5,Z4607531395,1907006-Y10-01,E03,10,10,C14H15FN2O5S2,N#C[C@@](CN(Cc(cc1)ccc1OS(F)(=O)=O)C1)(C2)[C@@H]1CS2(=O)=O,374.4077,100,27521095,0,Racemic diastereomer with known relative stereochemistry,Trans,"rac-4-{[(3aR,6aS)-3a-cyano-2,2-dioxo-hexahydro-1H-2lambda6-thieno[3,4-c]pyrrol-5-yl]methyl}phenyl sulfurofluoridate","-0,171","-2,113",0,6,"104,54",4,-22.71006813,1.374570447
fle`S@MHpRp@bDaDHrRRjIKISQJRhieh@JYiH@@ !Bb@HBmwvHmww~_{]}bGw~_?y?bGw~_{]}mpK~_qaSYuMeGqh_,6,Z3919175450,1907006-Y10-01,F03,10,10,C11H8FNO4S2,O=C(c1c[s]cc1)Nc(cc1)ccc1OS(F)(=O)=O,301.3139,100,27521095,0,Achiral,None,4-(thiophene-3-amido)phenyl sulfurofluoridate,"0,912","-3,892",1,3,"72,47",4,6.890012642,0.792602378
f`qQa@NJQcp@bDaddebRrbREJsiX@JjbaY@@ !BYuLlYq`lTqcRtK|qTqaSFK|qTq`ZXG?~YrqeXOx@,7,Z2969208214,1907006-Y10-01,G03,10,10,C9H11FN2O3S,O[C@@H](CC1)CN1c(cc1)ncc1S(F)(=O)=O,246.2586,100,27521095,0,Single known enantiomer,None,6-[(3S)-3-hydroxypyrrolidin-1-yl]pyridine-3-sulfonyl fluoride,"0,519","-1,667",1,5,"70,5",2,-6.13147914,-1.585204756
f`qAQ@DXXip@bDaddeRTTRTMzsiZhHJB@@ !Bb@HBm?vHm?w~_{]}?g~H_[]}XAk~_?y?KF]`Y[]},8,Z7847514560,1907006-Y10-01,H03,10,10,C9H9FO5S,O=S(CCOc1c2OCOc2ccc1)(F)=O,248.2282,97.8,27521095,0,Achiral,None,"2-(1,3-dioxaindan-4-yloxy)ethane-1-sulfonyl fluoride","1,861","-2,512",0,5,"61,83",4,5.372945638,10.43593131
f`qQa@NJQcp@bDaddebRrbREIwiX@Jjb@@ !B?`@@?g?~?g~H?[_}?g?~_{_}?g~w_Xa}?g?~_xc},9,Z2967424862,1907006-Y10-01,I03,10,10,C9H11FN2O3S,O=S(c(cc1)cnc1N1CCOCC1)(F)=O,246.2586,100,27521095,0,Achiral,None,6-(morpholin-4-yl)pyridine-3-sulfonyl fluoride,"1,028","-1,64",0,5,"59,5",2,-3.908355795,-6.101694915
f`q`a@IHp@HaHYIIXdlhdaR]zVjj@B@@@ !B?`@@?g?~?g~w?Xc}?g?~_xc}?g~w_Xa}?g?~_xc},10,Z4053500428,1907006-Y10-01,J03,10,10,C11H14FNO2S,O=S(C(CC1)CCN1c1ccccc1)(F)=O,243.2978,97.49,27521095,0,Achiral,None,1-phenylpiperidine-4-sulfonyl fluoride,"1,713","-2,555",0,3,"37,38",2,1.212938005,8.542372881
